INPUT,OUTPUT
X(8).,string(8);
X(4).,string(4);
X(15).,string(15);
X(30).,string(15);
(40).,INTEGER;
9(9).9(2).,"DECIMAL(9,2);"
S9(03)V9(2).,NA
S9(04).,NA
X(10).,NA
S9(9)V99.,NA
S9(3)V.,NA
S9(4)V.,NA
S9(09)V99,NA
SV9(5),NA
9(08).,NA
X(34).,NA
X(01)VALUESPACES.,NA
S9(05).,NA
S9(2)V9(3).,NA
9(08),NA
X(01).,NA
S9(02)V999.,NA
S99V999.,NA
SV9(05),NA
S9(9)V9(2),NA
X(06)VALUESPACES.,NA
S9(09)V9(02).,NA
X(02).,NA
S9(11)V9(2).,NA
X(03).,NA
X(07).,NA
S9(9)V9(2).,NA
X(123).,NA
S9(08),NA
S99.,NA
S9(03)V9(06).,NA
9(02)VALUEZEROES.,NA
X(20).,NA
X(80).,NA
S9(3).,NA
X(102).,NA
9(04).,NA
9(01).,NA
X(01),NA
9(2).,NA
X(16),NA
S9(02).,NA
S9(2).,NA
9(4).,NA
X(08).,NA
X(04).,NA
X(06),NA
S9(04),NA
S9(8)V.,NA
S9(02)V9(03),NA
X(35).,NA
SV9(5).,NA
S9(1)V9(4).,NA
9(03),NA
9(02).,NA
9(08)VALUE0.,NA
9(03).,NA
S9(3)V9(2).,NA
S9(03).,NA
SV9(05).,NA
S9(08).,NA
S9(1)V9(2).,NA
X(06).,NA
X(1).,NA
S9(11)V99,NA
S9(09)V99.,NA
X(25).,NA
9(3).,NA
X.,NA
